A Fierce Discontent; Michael McGerr, 
MLA Style Manual and Guide to Scholarly Publishing; Modern Language Association of America, 
A Theory of Cognitive Dissonance; Leon Festinger, 
Mammal Species of the World; Don E. Wilson, DeeAnn M. Reeder, 
This Is a Book; Demetri Martin, 
Seeing Like a State; James C. Scott, 
It's a Book; Lane Smith, 
A Pattern Language; Christopher Alexander, Sara Ishikawa, Murray Silverstein, 
A Brief History of Neoliberalism; David Harvey, 
A Dictionary of Psychology; Andrew M. Colman, 
